"","Player","Team","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Walker Zimmerman","NSH","CB","97","0.00","0.00","0.46","0.04","0.00","0.00","0.50"
"","Daryl Dike","ORL","ST","97","-0.00","0.01","0.01","-0.09","0.37","0.10","0.40"
"","Alistair Johnston","NSH","CB","97","0.02","0.00","0.23","0.06","-0.00","0.00","0.31"
"","Daniel Lovitz","NSH","FB","97","-0.00","0.00","0.25","-0.02","0.01","0.00","0.24"
"","Hany Mukhtar","NSH","ST","97","-0.03","-0.01","0.07","-0.06","0.12","0.13","0.22"
"","Mauricio Pereyra","ORL","AM","97","-0.00","-0.01","0.04","0.10","0.05","0.00","0.18"
"","Jack Maher","NSH","CB","97","0.01","-0.01","0.14","0.04","-0.00","0.00","0.17"
"","Tesho Akindele","ORL","W","15","0.00","0.00","0.00","0.06","0.08","0.02","0.16"
"","Emmanuel Más","ORL","FB","94","-0.01","0.01","0.09","0.10","-0.04","0.00","0.15"
"","Antônio Carlos","ORL","CB","97","0.03","-0.00","0.08","0.02","0.02","0.00","0.15"
"","Rándall Leal","NSH","CM","93","0.00","-0.00","0.04","0.04","0.02","0.04","0.15"
"","Chris Mueller","ORL","W","82","0.08","0.04","0.14","-0.20","0.08","0.00","0.14"
"","Jhegson Méndez","ORL","DM","82","0.01","0.01","0.05","0.03","0.00","0.04","0.14"
"","Jhonder Cádiz","NSH","ST","13","0.02","-0.00","0.03","-0.01","0.03","0.04","0.12"
"","Aníbal Godoy","NSH","CM","97","-0.01","-0.01","0.26","-0.16","0.01","0.01","0.10"
"","Nani","ORL","W","20","0.05","-0.00","0.01","-0.02","0.01","0.03","0.08"
"","Júnior Urso","ORL","DM","97","-0.03","0.00","0.07","-0.00","0.00","0.03","0.07"
"","C.J. Sapong","NSH","ST","84","0.05","0.04","-0.02","-0.13","0.08","0.04","0.07"
"","Robin Jansson","ORL","CB","97","-0.03","-0.03","0.03","0.08","0.00","0.00","0.05"
"","Dax McCarty","NSH","DM","93","0.01","-0.04","0.05","0.02","0.01","0.00","0.05"
"","Alexandre Pato","ORL","DM","15","0.01","0.02","0.01","-0.00","0.00","0.00","0.05"
"","Ruan","ORL","FB","97","0.03","0.00","0.01","-0.04","0.00","0.00","0.01"
"","Silvester van der Water","ORL","FB","3","0.00","0.00","0.00","0.01","-0.00","0.00","0.01"
"","Tah Brian Anunga","NSH","CM","4","-0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Eric Miller","NSH","FB","85","-0.02","0.00","0.06","-0.05","0.01","0.00","0.00"
"","Alex Muyl","NSH","DM","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Jalil Anibaba","NSH","CB","12","0.00","-0.02","-0.10","0.00","0.00","0.00","-0.12"
"","Benji Michel","ORL","W","77","-0.22","-0.00","0.10","-0.11","0.10","0.00","-0.13"